Term	Notes	Russian
rumor_tuna_bait_name		Приманка для тунца	
statuseffect_drunk_description		Уменьшает скорость работы, уменьшает шанс попадания, увеличивает максимальный урон	
statuseffect_drunk_lore		Наслаждайтесь со всей ответственностью	
statuseffect_drunk_name		Пьяный	
statuseffect_poison_description		Наносит урон каждые 60 секунд	
statuseffect_poison_lore		По их венам течет опасный яд, и им нужно как можно скорее найти противоядие	
statuseffect_poison_name		Отравленный	
statuseffect_spoiling_description		Превратится в гопа после 1 луны	
statuseffect_spoiling_lore		Слишком долго простоял на солнце	
statuseffect_spoiling_name		Баловство	
statuseffect_stunned_description		Невозможность атаковать в течение 5 с	
statuseffect_stunned_lore		Это было очень больно...
statuseffect_stunned_name		Ошеломленный	
statuseffect_wellfed_description		Повышает скорость работы	
statuseffect_wellfed_lore		Сытная трапеза пошла им на пользу	
statuseffect_wellfed_name		Хорошо кормят	
label_sailing_off_full		Отплытие	
language_dutch		Dutch	
language_french		French	
language_german		German	
language_italian		Italian
language_polish		Polish	
language_spanish		Spanish	
credits_aran		Концепция, программирование, дизайн	
credits_lisa		Игровое искусство	
credits_sokpop		Game by Sokpop	
credits_local_heroes		Локализация	
credits_special_thanks		Особая благодарность	
label_relic_brought_to_cathedral		Реликвия была доставлена в собор	
label_controls		Controls	
control_time_1		1x Speed	
control_time_2		5x Speed	
control_time_3		0x Speed	
control_time_pause		Время паузы	
control_panel_collapse		Переключить боковую панель	
control_zoom		Зум	
control_sell		Продать карту	
control_time_toggle		Время переключения	
control_pause		Поставить игру на паузу	
control_grab		Grab	
control_activate_UI		Activate UI	
control_move		Move	
control_snap_move		Snap Move	
control_snap_cards		Snap Cards To Grid	
label_keyboard_mouse		Keyboard & Mouse	
label_controller		Controller	
label_waiting_for_input		Waiting for input	
label_sellbox_description		Перетащите карты сюда, чтобы продать их. Вы также можете использовать [action_sell] чтобы продать карты
label_toggle_panel_text	Теперь элементы управления могут быть переброшены, так что параметры будут заменены соответствующей клавишей	Нажмите эту кнопку или нажмите [action_panel_collapse] чтобы переключить вкладку «Квесты и идеи»	
label_auto_pause_controller		Автоматическое приостановление времени при перетаскивании карт (controller):	
label_auto_pause_keyboardmouse		Автоматическое приостановление времени при перетаскивании карт (keyboard):	
label_binding	Используется при перепривязывании элемента управления к клавише Назначение [control]	
label_accessibility		Доступность	
language_portuguese		Brazilian 	
language_chinese		Chinese	
language_japanese		Japanese
language_korean		Korean	
label_progress_stored		Прогресс будет сохранен	
label_go_to_island_prompt		Вы уверены, что хотите отправиться на остров? Это позволит сначала завершить текущую луну и накормить жителей деревни	
label_return_to_mainland_prompt		Вы уверены, что хотите вернуться на материк? Это позволит сначала завершить текущую Луну и накормить ваших жителей	
label_not_enough_food_before_sailing		Прежде чем отправиться в плавание, вам нужно запастись достаточным количеством еды для жителей деревни
idea_growth_status_11		Выращивание морских водорослей	
card_market_description		Можно использовать для продажи карт дороже, чем обычно	
attackdamage_veryweak		Очень слабый	
attackdamage_weak		Слабый	
attackdamage_normal		Нормальный	
attackdamage_strong		Сильный	
attackdamage_verystrong		Очень сильный	
attackdamage_extremelystrong		Чрезвычайно сильный	
attackspeed_veryslow		Очень медленно	
attackspeed_slow		Медленный	
attackspeed_normal		Нормальный	
attackspeed_fast		Быстрый	
attackspeed_veryfast		Очень быстрый	
attackspeed_extremelyfast		Чрезвычайно быстрый	
card_amulet_of_forest_description		Вы чувствуете, как через вас проходит целебная сила природы
card_amulet_of_forest_name		Лесной амулет
card_amulet_of_mountain_description		Это дает вам основу	
card_amulet_of_mountain_name		Амулет горы	
card_archer_description		Боится подойти слишком близко	
card_archer_name		Лучник	
card_axe_description		Для рубки дров и монстров	
card_axe_name		Топор
card_bear_claw_description		Дешевая подделка росомахи	
card_bear_claw_name		Медвежий коготь	
card_blowpipe_description		Дуй изо всех сил	
card_blowpipe_name		Труба для дыхания
card_blunderbuss_description		Осторожно! Может взорваться в вашем собственном лице
card_blunderbuss_name		Мушкетон
card_bone_spear_description		Устрашающая версия обычного копья	
card_bone_spear_name		Костяное копье	
card_bone_staff_description		Кость с особыми способностями	
card_bone_staff_name		Костяной посох	
card_boomerang_description		Всегда возвращается к тебе	
card_boomerang_name		Бумеранг	
card_bow_description		Позволяет почувствовать себя Робин Гудом	
card_bow_name		Лук	
card_broken_bottle_description		Подготовлен для работы		
card_broken_bottle_name		Разбитая бутылка	
card_builder_description		Быстрее строит	
card_builder_name		Строитель	
card_bunny_hat_description		Это восхитительно!	
card_bunny_hat_name		Шляпа кролика	
card_chainmail_armor_description		Классика средневековой эпохи	
card_chainmail_armor_name		Цепной доспех	
card_club_description		Не используется для игры в бейсбол	
card_club_name		Клуб	
card_crab_scale_armor_name		Доспехи из чешуи краба	
card_crossbow_description		Пистолет для стрел	
card_crossbow_name		Арбалет	
card_dark_amulet_description		Его темная сила делает вас сильнее	
card_dark_amulet_name		Темный амулет	
card_dark_elf_description		Эмо-версия обычного эльфа	
card_dark_elf_name		Темный эльф	
card_demon_sword_description		Превосходный клинок, которым пользовался сам Демон	
card_demon_sword_name		Демонический меч
card_elf_archer_description		Эльфы - лучшие лучники	
card_elf_archer_name		Эльф-лучник	
card_elf_description		Больше не работает на Санта-Клауса	
card_elf_name		Эльф	
card_enchanted_shroom_description		Это волшебный гриб	
card_enchanted_shroom_name		Зачарованный гриб	
card_ent_description		Говорящее и ходячее дерево	
card_ent_name		Энт
card_feral_cat_description		Есть ли у него бешенство? Возможно!	
card_feral_cat_name		Дикая кошка	
card_fire_cloak_description		Он светится	
card_fire_cloak_name		Огненный плащ	
card_frog_helmet_description		Наделяет вас лягушачьими способностями	
card_frog_helmet_name		Лягушачий шлем	
card_frog_man_description		Человек из лягушек	
card_frog_man_name		Человек-лягушка	
card_ghost_description		Проявляется только на фотографиях низкого качества	
card_ghost_name		Призрак	
card_giant_snail_description		Французы сошли бы с ума от этого	
card_giant_snail_name		Гигантская улитка 	
card_goblin_archer_description		Более талантливый обычный гоблин	
card_goblin_archer_name		Гоблин-лучник	
card_goblin_hat_description		Гоблинская мода устарела	
card_goblin_hat_name		Шляпа гоблина	
card_goblin_shaman_description		Радует других гоблинов	
card_goblin_shaman_name		Гоблин-шаман	
card_gold_chestplate_description		Немного переборщили с одеждой для этого мероприятия	
card_gold_chestplate_name		Золотой нагрудник	
card_hammer_description		Медленная и тупая, но с сильным ударом	
card_hammer_name		Молоток	
card_helmet_description		Надевается на голову. Отлично подходит для езды на велосипеде	
card_helmet_name		Шлем	
card_horned_helmet_description		Пригодится для сильных ударов головой	
card_horned_helmet_name		Шлем с рогами	
card_iron_shield_description		Надежная защита от сильных ударов	
card_iron_shield_name		Железный щит	
card_kraken_tooth_axe_description		Оставили для зубной феи, а вы забрали	
card_kraken_tooth_axe_name		Топор Зуб Кракена	
card_leather_tunic_description		Доспехи из лучшей кожи	
card_leather_tunic_name		Кожаная туника	
card_lumberjack_description		Значительно быстрее собирает древесину	
card_lumberjack_name		Дровосек	
card_mage_description		Волшебник после окончания школы	
card_mage_name		Маг	
card_magic_blade_description		Обычный меч, который сверкает	
card_magic_blade_name		Волшебный клинок	
card_magic_broom_description		Ты взял это у какой-то старушки	
card_magic_broom_name		Волшебная метла	
card_magic_dust_description		Похоже на блестки	
card_magic_dust_name		Волшебная пыль	
card_magic_ring_description		Надетая на палец, она наделяет вас магическими способностями	
card_magic_ring_name		Волшебное кольцо	
card_magic_staff_description		Длинный заколдованный жезл	
card_magic_staff_name		Волшебный посох 	
card_magic_tome_description		Старая книга с заклинаниями	
card_magic_tome_name		Магическая книга	
card_magic_wand_description		Простое магическое оружие	
card_magic_wand_name		Волшебная палочка	
card_merman_description		Наполовину человек, наполовину мер	
card_merman_name	Это мужская версия русалки	
card_mimic_description		Это чуть не заставило меня	
card_mimic_name		Мимик	
card_miner_description		Намного быстрее добывать камень, золото и железо	
card_miner_name		Шахтер	
card_morning_star_description		Шипы на палке	
card_morning_star_name		Утренняя звезда	
card_mosquito_description		Он даже ненавидит себя	
card_mosquito_name		Москит	
card_ninja_description		Бесшумный и смертоносный	
card_ninja_name		Ниндзя	
card_ogre_description		Большой и крупный	
card_ogre_name		Огр	
card_orc_wizard_description		Средний и зеленый	
card_orc_wizard_name		Орк-волшебник	
card_pickaxe_description		Палка с двумя острыми концами	
card_pickaxe_name		Кирка	
card_pirate_hat_description		Пригодится для нарядных вечеринок	
card_pirate_hat_name		Пиратская шляпа	
card_pirate_sword_description		Предназначен для любителей фехтования	
card_pirate_sword_name		Пиратская сабля	
card_quiver_description		Делает вас более эффективным	
card_quiver_name		Колчан	
card_rat_crown_description		Превратитесь в короля крыс	
card_rat_crown_name		Крысиная корона	
card_skull_helmet_description		Непорядок	
card_skull_helmet_name		Шлем с черепом	
card_slingshot_description		Очень неточно бросайте камни во врагов	
card_slingshot_name		Рогатка	
card_smithy_description		Здание, используемое для создания лучшего оружия	
card_smithy_name		Кузница	
card_spiked_plank_description		Для крепких строителей	
card_spiked_plank_name		Планка с шипами	
card_stable_portal_name		Стабильный портал	
card_stable_portal_status		Вход в портал	
card_staff_of_fear_description		Очень страшно!!!	
card_staff_of_fear_name		Посох страха	
card_strange_portal_description		Выглядит угрожающе. Интересно, сможем ли мы войти в него?	
card_strange_portal_name		Странный портал	
card_throwing_star_description		Быстрые и точные, они нравятся ниндзя	
card_throwing_star_name		Метание звезд	
card_tiger_fur_coat_description		Непристойно, но по крайней мере заставляет почувствовать себя сильным	
card_tiger_fur_coat_name		Шуба из тигрового меха	
card_warrior_description		Деревенский житель, который ходит в спортзал	
card_warrior_name		Воин	
card_wicked_witch_description		Она мне больше нравилась, когда была обычной старушкой.	
card_wicked_witch_name		Злая ведьма	
card_wicked_witch_name_2		Старая леди	
card_wizard_description		Деревенский житель с блестками	
card_wizard_name		Волшебник	
card_wizard_robe_description		Это как волшебная обновка
card_wizard_robe_name		Мантия волшебника	
card_wolf_head_description		Идеально для фурри	
card_wolf_head_name		Голова волка	
card_wooden_shield_description		Базовая защита от сильных ударов	
card_wooden_shield_name		Деревянный щит	
cardtype_equipable		Оборудование	
control_toggle_inventory		Открытый инвентарь	
credits_wouter		Программирование		
defence_veryweak		Очень слабый	
defence_weak		Слабый	
defence_normal		Нормальный	
defence_strong		Сильный	
defence_verystrong		Очень сильный	
defence_extremelystrong		Очень сильный	
hitchance_verysmall		Очень маленький	
hitchance_small		Маленький	
hitchance_normal		Нормальный	
hitchance_high		Высокий	
hitchance_veryhigh		Очень высокий	
hitchance_extremelyhigh		Чрезвычайно высокий	
idea_amulet_of_forest_status_0		Изготовление Амулета леса		
idea_amulet_of_mountain_status_0		Изготовление Амулета горы	
idea_axe_status_0		Создание топора	
idea_blowpipe_status_0		Создание дыхательной трубки	
idea_blunderbuss_status_0		Создание мушкетона	
idea_bone_spear_status_0		Создание костяного копья
idea_bone_staff_status_0		Создание костяного посоха	
idea_boomerang_status_0		Создание бумеранга	
idea_bow_status_0		Создание лука	
idea_broken_bottle_status_0		Разбить бутылку	
idea_chainmail_armor_status_0		Создание доспехов из цепного полотна	
idea_club_status_0		Создание клуба	
idea_crossbow_status_0		Создание арбалета	
idea_gold_chestplate_status_0		Кузнечное дело	
idea_growth_status_12		Выращивание сахарного тростника	
idea_hammer_status_0		Создание молотка	
idea_iron_shield_status_0		Изготовление железного щита
idea_magic_blade_status_0		Создание волшебного клинка	
idea_magic_ring_status_0		Создание волшебного кольца	
idea_magic_staff_status_0		Создание волшебного посоха	
idea_magic_tome_status_0		Создание магического тома	
idea_magic_wand_status_0		Создание волшебной палочки	
idea_pickaxe_status_0		Создание кирки	
idea_slingshot_status_0		Создание рогатки	
idea_smithy_status_0		Строительство кузницы	
idea_spiked_plank_status_0		Протягивание доски	
idea_stable_portal_status_0		Создание стабильного портала	
idea_throwing_star_status_0		Создание метательной звезды	
idea_wizard_robe_status_0		Создание мантии волшебника	
idea_wooden_shield_status_0		Создание деревянного щита	
label_base_combatlevel		Базовый боевой уровень [level]	
label_can_drop		Может упасть:	
label_cancel_the_ritual		Минутку...	
label_combatlevel		Боевой уровень [level]	
label_defence		Оборона	
label_defence		Оборона		  
label_demo		Demo	
label_demo_any_key_to_start		Нажмите любую кнопку, чтобы начать игру	
label_demo_reset_warning		Demo will reset in [time]s, press any key to continue	
label_equiping		Оснащение [card]	
label_everyone_in_forest_dead		Вы не сможете отомстить	
label_everyone_in_forest_dead_text		Наберитесь сил и попробуйте еще раз!
label_extra_combat_stats		Дополнительные боевые статы: [on_off]	
label_forest_fight		Приготовьтесь к бою!	
label_forest_fight_wave_10		Приготовьтесь сразиться со злой ведьмой!	
label_forest_intro_1		Вы попадаете в странный темный лес
label_forest_intro_2		Появляется старушка!	
label_forest_intro_3		«Доброго дня тебе, путешественник...»	
label_forest_intro_4		Теперь, когда она стала ближе, она совсем не похожа на старушку!	
label_forest_intro_5		Она - злая ведьма!	
label_forest_intro_6		«Ты пришел отомстить, но тебе никогда не победить меня!»	
label_forest_intro_title		Темный лес		
label_forest_leave		Вы сбежали с заработанными деньгами	
label_forest_lost		«Жалкий, это все, на что ты способен?»	
label_forest_lost_2		Все жители вашей деревни пали. Вам придется понести потери и отступить
label_forest_lost_title		Ваши жители увяли	
label_forest_resume		«Значит, ты вернулся за добавкой? Тебе никогда не победить меня!»	
label_forest_resume_title		Опять?
label_forest_wave_10_end		«Как это случилось? Я одолею тебя!»	
label_forest_wave_10_end2		Хотите ли вы сразиться со Злой Колдуньей или покинуть Лес?	
label_forest_wave_end		«Вы победили моих приспешников, но у меня их еще много!»	
label_forest_wave_end_leave		Бежать из леса	
label_forest_wave_end_next_wave		Волна борьбы [wave]	
label_forest_wave_end_wave_10		Сразитесь со злой ведьмой	
label_forest_wave_end2		Хотите ли вы сразиться со следующей волной или убежать?	
label_forest_wave_endless_end		Вы победили злую колдунью, но темные силы все еще не исчезли...	
label_forest_wave_endless_end3		Вы можете продолжать бороться за получение дополнительных ресурсов	
label_forest_wave_title		Волна побеждена	
label_framerate_120		120 FPS	
label_framerate_30		30 FPS	
label_framerate_60		60 FPS	
label_framerate_cap		Ограничение частоты кадров: [fps_cap]	
label_framerate_unlimited		Нет	Geen	
label_go_to_forest_prompt		Вы уверены, что хотите путешествовать через этот портал?	
label_inventory		Инвентарь	
label_not_enough_food_before_portal		Прежде чем войти в портал, вам нужно запастись достаточным количеством еды для своих жителей	
label_taking_portal_full		Телепортация через портал	
label_taking_portal_title		Посетите портал	
label_total_combatlevel		Общий боевой уровень [level]	
quest_break_bottle_text		Разбить бутылку	
quest_build_smithy_text		Постройте кузницу	
quest_build_stable_portal_text		Создайте стабильный портал	
quest_craft_amulet_forest_text		Создайте Амулет леса	
quest_equip_archer_quiver_text		Экипируйте лучника колчаном	
quest_fight_wave_six_text		Перейдите в волну 6	
quest_fight_wicked_witch_text		Сразитесь со злой ведьмой		
quest_find_dark_forest_text		Найдите Темный лес	
quest_finish_first_wave_text		Пройдите первую волну		
quest_plant_berry_bush_text		Вырастите ягодный куст, используя почву	
quest_punch_rock_text		Добыть камень с помощью жителя деревни	
quest_punch_tree_text		Соберите дерево, используя жителя деревни	
quest_train_archer_text		Обучить лучника	
quest_train_ninja_text		Обучить ниндзя	
quest_train_wizard_text		Обучить волшебника	
quest_villager_combat_20_text		У вас есть житель деревни с боевым уровнем 20	
quest_wear_bunny_hat_text		Заставьте жителя деревни надеть кроличью шапку	
quest_wear_crab_scale_armor_text		Заставьте жителя деревни надеть доспехи из чешуи краба	
questgroup_equipment		Укрепиться	
questgroup_forest_mainquest		Темный лес	
rumor_combat_description		Некоторые типы атак сильнее других. Например, рукопашный бой побеждает магию!	
rumor_combat_name		Бой	
specialhit_bleeding_long		[chance]% шанс истечь кровью [target]	
specialhit_crit_long		[chance]% шанс нанести критический удар по [target]	
specialhit_damage_long		[chance]% шанс нанести урон [target]	
specialhit_frenzy_long		[chance]% шанс на Бешенство [target]	
specialhit_heal_long		[chance]% шанс исцеления [target]	
specialhit_heallowest_long		[chance]% шанс исцелить друга с наименьшим количеством здоровья
specialhit_invulnerable_long		[chance]% шанс сделать [target] неуязвимым
specialhit_lifesteal_long		[chance]% шанс получить Оживление от [target]	
specialhit_poison_long		[chance]% шанс отравить [target]	
specialhit_stun_long		[chance]% шанс оглушить [target]	
statuseffect_bleeding_description		Наносит урон каждые 2 с в течение 10 с	
statuseffect_bleeding_lore		Оно вырывается наружу
statuseffect_bleeding_name		Кровотечение	
statuseffect_frenzy_description		Увеличивает скорость атаки на 10 с	
statuseffect_frenzy_lore		Они в ярости	
statuseffect_frenzy_name		Frenzy		
statuseffect_invulnerable_description		Невозможно повредить в течение 10 с	
statuseffect_invulnerable_lore		Кожа из стали	
statuseffect_invulnerable_name		Неуязвимый	
target_allenemy		все враги	
target_allfriendly		все дружелюбны	
target_randomenemy		случайный враг	
target_randomfriendly		случайный дружелюбный	
target_self		self	
target_target		цель	
cardtype_humans		Жители деревни	
label_food_infobox		Все Луны, которые вам нужны [required_food_count] [foodicon] чтобы прокормить своих жителей. В настоящее время у вас есть [food_count] [foodicon]	
label_food_infobox_warning		Получите [foodicon] чтобы не потерять своих жителей!	
label_starving_humans		<one>Не хватает еды... 1 житель деревни умрет от голода<other>Не хватает еды... [count] жителей деревни умрут от голода	
card_tuna_description		Рыбный фарш	
card_cod_description		Мокрая и скользкая рыба	
card_mackerel_description		Маленькая рыбка	
label_health		Максимальное здоровье
label_wave		Волна [wave]	
label_undiscovered_cards_tooltip		В этой пачке еще остались нераскрытые карты	
label_undiscovered_cards_tooltip_title		Неразгаданные карты	
rumor_dark_forest_name		Темный лес	
rumor_dark_forest_description		За Странным порталом скрыт мир	
pack_equipment_text		Арсенал	
label_ui_scale		UI Scale: [scale]	
label_ui_scale_100		100%	
label_ui_scale_80		80%	
label_ui_scale_60		60%	
pack_combat_intro_text		Новое оружие	
label_strange_portal_appeared_strong		Он кажется сильнее, чем обычно	
label_itemlevel		Уровень предмета [level]		
label_health_info		ОЗ: [health]/[maxhealth]	
card_rare_portal_name		Редкий портал	
card_rare_portal_description		Выглядит угрожающе. Интересно, сможем ли мы войти в него?	
label_forest_wave_endless_end2		Вы завершили квест Темного леса
label_max_villager_in_portal		Вы можете взять только 7 жителей деревни в портал	
card_stable_portal_description		Постоянный портал в Темный лес. Может перемещать 7 карт. Время для мести!	
label_update_title_forest		Обновление Темного леса	
label_update_text_forest		Последнее обновление уже здесь! Мы добавили новую зону, внесли значительные изменения в бои в игре и добавили несколько исправлений качества жизни! ##Это обновление вносит множество изменений в базовую игру. Для получения наилучших впечатлений вам следует начать новый запуск!	
card_militia_description		Деревенский житель, готовый пошуметь	
card_swordsman_description		Деревенский житель, готовый к бою!	
quest_pause_game_text		Приостановите воспроизведение, используя значок воспроизведения в правом верхнем углу	
card_university_name		Университет	
card_university_description_long		Место мудрости. Дает вам новую идею для каждого [max_count] монеты, которые вы им подарите. [count]/[max_count] выданные монеты
card_university_description_completed		Место мудрости. Вы открыли для себя все их Идеи.
idea_university_status_0		Строительство университета	
label_invention_fullname		Изобретение: [name]	
card_lighthouse_name		Маяк	
card_lighthouse_description		Увеличивает размер доски сверх лимита Хранилища	
idea_lighthouse_status_0		Строительство маяка
card_resource_chest_name_override	[resource] заменяется ресурсом, который хранится в сундуке, например, «Сундук с древесиной»	[resource] Сундук	
card_resource_chest_name		Сундук с ресурсами	
card_resource_chest_description		Сундук для хранения ресурсов	
card_resource_chest_description_long		Сундук, содержащий [amount] [resource] 	
idea_resourcechest_status_0		Строительный сундук	
card_resource_magnet_name		Магнит для ресурсов		
card_resource_magnet_name_override		[resource] Магнит	
card_resource_magnet_description		Эта карта магическим образом притягивает к себе карты того же типа	
card_resource_magnet_description_long	[resource] заменяется ресурсом, который притягивает магнит, например, «Магнит из дерева»	Магнит притягивает [resource]	
idea_resource_magnet_status_0		Создание ресурсного магнита	
card_heavy_foundation_name		Волшебный клей	
card_heavy_foundation_description		Прикрепляет стопку к доске и не дает ей перемещаться	
idea_heavy_foundation_status_0		Магия ремесел 
card_conveyor_name		Кран	
card_conveyor_description		Поднимает карты с одного места на другое	
card_conveyor_status		Подъемник [resource]	
idea_conveyor_status_0		Строительство крана	
card_hotpot_name		Горячая еда	
card_hotpot_description		Восполняемый источник еды, из которого могут питаться ваши жители. Добавьте еду, и они будут есть из нее в конце Луны!	
idea_hotpot_status_0		Создание горячего блюда	
card_trash_can_name		Dustbin	
card_trash_can_description		Allows you to get rid of cards you don't want anymore	
idea_trash_can_status_0		Строительство мусорного бака	
card_trash_can_status_0		Избавление от карты	
label_update_text_chaos	Здесь новое небольшое обновление! Мы добавили кучу карт, которые сделают жизнь в средней и поздней игре намного более управляемой.## Есть карты, которые помогут вам в управлении едой, ресурсами и даже некоторые карты, которые вы можете использовать для настройки простой автоматизации!##Мы также исправили некоторые ошибки, а также добавили исправления качества жизни. Наслаждайтесь!	
label_update_title_chaos		Порядок и структура	
label_menu_sub_title		Порядок и структура	
card_breeding_pen_name		Племенной загон	
card_breeding_pen_description		Загон для разведения животных	
idea_breedingpen_status_0		Строительство загона для разведения	
action_breeding_status		Разведение животных
action_slaughtering_status		Разделывание животного	
card_slaughter_house_name		Мясная лавка	
card_slaughter_house_description		Отправляет животных на отдых	
idea_slaughterhouse_status_0		Строительство мясной лавки	
card_wishing_well_name		Колодец желаний	
card_wishing_well_description_long		<one>Он дает вам желание за каждые [count] монет. В данный момент у вас есть [amount] желаний<other>Это дает вам желание за каждые [count] монет. В данный момент у вас есть [amount] желаний	
card_wishing_well_wish_1		«Ааа! Мое первое желание»	
card_wishing_well_wish_2		«Я чувствую себя счастливчиком!»	
card_wishing_well_wish_5		«О счастливые дни!»	
card_wishing_well_wish_10		«Я очень надеюсь, что этот Колодец желаний что-нибудь сделает?»	
card_wishing_well_wish_20		«Я точно трачу много денег на желания»	
card_wishing_well_wish_50		«Это никуда не денется. Я должен прекратить покупать желания»	
idea_wishing_well_status_0		Строительство колодца желаний	
card_brickyard_status		Создание кирпича	
card_sawmill_status		Изготовление доски	
label_one_villager_needs_to_stay_island		Хотя бы один житель деревни должен остаться на острове	
card_university_status		Исследование	
label_demand_coins_text		«Я хочу купить несколько красивых вещей! Принеси мне [amount] монет до конца луны [monthFinished]»
label_demand_garden_text		«У нас мало еды, и я хочу, чтобы мои слуги приготовили мне побольше. Постройте для меня сад до конца луны. [monthFinished]»	
label_demand_olives_text		«Я бы хотел съесть что-нибудь... экзотическое. Принесите мне [amount] оливок до конца луны [monthFinished]»
label_demand_beer_text		«Я буду принимать гостей в конце луны [monthFinished]. Принесите мне [amount] пива до этого времени»	
label_demand_fancy_dress_text		«Я хочу произвести впечатление на даму, которая мне нравится. Достаньте мне маскарадный костюм до конца луны [monthFinished]»
label_demand_royal_banquet_text		«Через несколько лун у меня день рождения, и я хочу большой праздник! Устройте мне королевский банкет до конца луны [monthFinished]»	
label_demand_wool_socks_text		«Мои ноги замерзли! Достань мне фиолетовые носки до конца луны [monthFinished]»
label_demand_wine_text		«Винный погреб пуст! Принесите мне 2 бутылки вина до конца луны [monthFinished]»	
label_demand_painting_text		«Мой дом недостаточно стильный. Купи мне картину до конца луны [monthFinished]»
label_missing_cards_more_text		и [amount] больше	
label_animal_die		Некоторые животные ушли из жизни	
specialhit_sick_long		[chance]% шанс сделать [target] 
card_well_name		Колодец	
card_well_description		Бесконечный источник воды	
card_well_status_0		Строительство колодца	
card_well_status_1		Получение воды	
label_disable_paused_text		Мигает «Пауза»: [on_off]		
label_placeholder_search	Показывается в «полях поиска», где игроки могут вводить текст	
label_conflict_very_effective		Очень эффективно	
cutscene_happiness_food_text_0		«Вы продали немного еды...»	
cutscene_happiness_food_text_1		«Печаль появляется, если вы продаете еду, которую могут есть жители деревни»	
label_altar_cutscene_mainland		Вы уже завершили этот Мир духов. Хотите ли вы перезапустить Мир духов или призвать его проклятие здесь?	
label_altar_run_board		Призыв [curse]	
label_altar_run_redo		Перезапустить мир духов	
board_island_name		Остров	
board_main_name		Материк	
board_forest_name		Лес	
board_greed_name		Жадность	
board_death_name		Смерть	
board_happiness_name		Счастье	
label_altar_cutscene_good_luck		«Вы вызвали Проклятие, удачи!»	
cutscene_happiness_middle_text_0		«Ты отлично справляешься с тем, чтобы деревня была счастлива. Возможно, мы сможем снять проклятие, если ты соберешь больше!»	
label_name_villager_title		Назовите эту карту	
credits_Tumult		Звуковые эффекты	
label_spirit_outro_0_greed		Вы сняли проклятие жадности!	
label_spirit_outro_0_death		Вы сняли Проклятие Смерти!	
label_spirit_outro_0_happiness		Вы сняли Проклятие Печали!	
card_sad_event_description		Создает 1 печаль за каждых 2 жителей деревни	
card_sad_event_name		Печальное событие	
label_sad_event_appeared		Сейчас произойдет что-то печальное!	
label_greed_demand_failed_fight_peaceful		«Мне придется преподать тебе урок... Я заберу твои монеты!!!»	
label_shaman_intro_peaceful		«Вы соединили Храм и Золотой кубок и получили идею для Гребной лодки»	
card_archer_name_young		Юный лучник	
card_archer_name_old		Старый лучник	
card_builder_name_young		Молодой строитель	
card_builder_name_old		Старый строитель	
card_lumberjack_name_young		Молодой дровосек	
card_lumberjack_name_old		Старый дровосек	
card_mage_name_young		Молодой маг	
card_mage_name_old		Старый маг	
card_miner_name_young		Молодой шахтер	
card_miner_name_old		Старый шахтер	
card_ninja_name_young		Молодой ниндзя
card_ninja_name_old		Старый ниндзя	
card_warrior_name_young		Молодой воин	
card_warrior_name_old		Старый воин	
card_wizard_name_young		Молодой волшебник	
card_wizard_name_old		Старый волшебник	
card_explorer_name_young		Молодой исследователь	
card_explorer_name_old		Старый исследователь	
card_militia_name_young		Юный ополченец	
card_militia_name_old		Старый ополченец	
card_swordsman_name_young		Юный мечник	
card_swordsman_name_old		Старый мечник	
card_fisher_name_young		Молодой рыболов	
card_fisher_name_old		Старый рыболов	
card_friendly_pirate_name_young		Молодой дружелюбный пират	
card_friendly_pirate_name_old		Старый дружелюбный пират	
card_trained_monkey_name_young		Молодая дрессированная обезьяна	
card_trained_monkey_name_old		Старая дрессированная обезьяна	
card_jester_name_young		Молодой шут	
card_jester_name_old		Старый шут	
label_youtube_dlc_title		Проклятые миры - ранний доступ	
label_youtube_dlc_text		Это специальная сборка раннего доступа к Stacklands Cursed Worlds DLC!##Вы можете быстро получить доступ к новому контенту, используя наше готовое сохранение. Это сохранение начинается сразу после победы над первым боссом игры.## Также можно продолжить игру с текущего сохранения.## Если вы хотите начать с нуля, очистите данные сохранения в меню настроек.	
label_load_run		Используйте готовое сохранение игры	
label_exit		Продолжить обычно	
card_chicken_name_old		Старая курица
card_cow_name_old		Старая корова	
card_crab_name_old		Старый краб	
card_horse_name_old		Старая лошадь	
card_monkey_name_old		Старая обезьяна	
card_parrot_name_old		Старый попугай	
card_rabbit_name_old		Старый кролик	
card_sheep_name_old		Старая овца	
cutscene_death_middle_text_3		«Вы не получили нового жителя деревни вовремя...»	
cutscene_death_middle_text_4		«К сожалению, это означает, что эта деревня обречена на конец...»	
label_greed_given		Это указывается под требованием короля, чтобы показать, сколько уже было дано, например, «1/5 дано».	[given] дано	
credits_betatesting		Beta testing	Betatesting	Beta test	
quest_happiness_read_book_text		Читать книгу	
label_music		Музыка	
label_click_this_pack		Откройте этот пакет, чтобы получить карты!	
card_coin_chest_description_long		Сундук, в котором могут храниться монеты. Взаимодействуйте с ним, чтобы извлечь монеты. Содержит [count]/[max_count][goldicon]	
card_shell_chest_description_long		Сундук, в котором могут храниться ракушки. Взаимодействуйте с ним, чтобы извлечь ракушки. Содержит [count]/[max_count][shellicon]	
label_toggle_inventory		Переключение инвентаря	
card_altar_description		Используется для вызова духов	
card_altar_name		Алтарь	
card_angry_royal_description		Вы разгневали самого важного человека на свете	
card_angry_royal_name		Сердитый король	
